entry_time,exit_time,type,entry,sl,tp,vol,pnl,result
1774506900,1774535700,sell,4440.318,4470.468431251802,4365.396921870495,0.19,-5.728581937842346,-1
1774536000,1774542120,sell,4473.619,4404.598957695118,4401.003242115794,0.2,14.523151576841157,1
1774548360,1774557600,sell,4386.0289999999995,4416.233247968875,4310.973380077811,0.19,-5.7388071140863035,-1
1774569600,1774582740,sell,4406.787499999999,4437.617417080509,4330.167707298727,0.19,-5.857684245296786,-1
1774583100,1774590600,buy,4434.954500000001,4462.654844671858,4508.398020613957,0.2,5.5400689343714475,-1
1774594800,1774600020,buy,4460.696000000001,4433.854615740784,4527.344460648043,0.22,-5.905104537027783,-1
1774600320,1774609620,buy,4434.544500000001,4408.0586717593,4500.304070601755,0.22,-5.8268822129542786,-1
1774609920,1774616700,buy,4411.42,4433.774444351706,4472.323940456287,0.24,5.36506664440938,-1
1774616760,1774620300,sell,4432.875999999999,4457.527101912474,4371.703245218813,0.24,-5.916264458993901,-1
1774621800,1774624380,buy,4454.1089999999995,4518.881345123459,4522.9331294396725,0.21,14.453067182331333,1
1774626060,1774631820,buy,4530.924,4502.115380493836,4602.4905487654105,0.2,-5.761723901232836,-1
1774632120,1774827060,buy,4498.0995,4469.695343384991,4568.654891537522,0.21,-5.964872889151893,-1
1774836000,1774840020,sell,4470.747,4500.72200875745,4396.264478106377,0.2,-5.995001751489872,-1
1774886400,1774898820,sell,4547.5885,4500.5431880803835,4482.537013916379,0.23,10.820421741511755,-1
1774898880,1774917540,sell,4502.291,4527.593752321533,4439.489119196168,0.23,-5.819633033952651,-1
1774919040,1774921440,buy,4542.7795,4610.15360866542,4614.96841334581,0.2,14.437782669162154,1
1774922400,1774925280,buy,4602.3275,4572.952989328699,4675.308776678253,0.2,-5.874902134260265,-1
1774929600,1774958040,buy,4558.211,4580.434830535657,4626.474713054208,0.21,4.667004412487931,-1
1774959240,1774966020,buy,4577.8695,4609.887063278731,4641.164816946218,0.23,7.364039554108213,-1
1774966500,1774975620,buy,4612.9975,4634.890575735232,4678.13146206077,0.22,4.816476661751003,-1
1775005260,1775007600,buy,4709.791,4684.4715021955,4772.634744511251,0.23,-5.823484495035073,-1
1775017800,1775021880,sell,4672.8775,4695.906499809215,4615.760000476961,0.26,-5.987539950396094,-1
1775046600,1775055180,sell,4736.4945,4760.3463172616375,4677.319956845906,0.25,-5.9629543154094335,-1
1775055600,1775058300,sell,4760.6935,4785.553627596144,4698.9981810096415,0.24,-5.966430623074484,-1
1775059200,1775066640,buy,4786.9675,4762.949067232152,4846.5585819196185,0.25,-6.0046081919620065,-1
1775084400,1775091840,buy,4775.7205,4753.097829668583,4831.8221758285445,0.26,-5.8818942861686265,-1
1775094600,1775097720,sell,4699.222,4673.824677014709,4628.265993800898,0.21,5.333437826911085,-1
1775104200,1775109000,sell,4665.035,4601.3146167405575,4595.629896640151,0.21,14.57507170556827,1
1775110680,1775114160,sell,4587.208,4619.444605036356,4507.071487409109,0.18,-5.8025889065441145,-1
1775115000,1775134980,buy,4622.553500000001,4589.519766751956,4704.682833120113,0.18,-5.9460719846480785,-1
1775135280,1775137860,sell,4602.9735,4635.498851811329,4522.115120471679,0.18,-5.854563326039151,-1
1775138400,1775140560,sell,4642.824,4676.926712396234,4558.0222190094155,0.17,-5.797461107359777,-1
1775142000,1775427180,sell,4679.7085,4627.209903550786,4596.500703365886,0.17,8.924761396366286,-1
1775433600,1775437920,sell,4609.783,4639.907714287405,4534.926214281489,0.2,-6.024942857480892,-1
1775438220,1775442000,sell,4630.902,4660.179834695447,4558.162413261382,0.2,-5.855566939089477,-1
1775442960,1775469000,buy,4646.982,4699.040651823309,4721.404330543002,0.2,10.41173036466189,-1
1775470440,1775478180,buy,4689.05,4664.382163915151,4750.264590212123,0.24,-5.920280660363787,-1
1775480400,1775495580,buy,4676.5785000000005,4653.120006895622,4734.769732760946,0.25,-5.864623276094562,-1
1775495880,1775525940,buy,4657.141500000001,4634.694200157379,4712.804749606555,0.26,-5.836297959081658,-1
1775530800,1775539800,buy,4649.9495,4630.284505085949,4698.656987285126,0.3,-5.8994984742153065,-1
1775540760,1775549520,sell,4635.756,4655.915896635075,4585.811258412315,0.29,-5.846370024171692,-1
1775551560,1775555220,buy,4683.014,4662.178390194148,4734.64802451463,0.28,-5.833970745638581,-1
1775556000,1775560740,sell,4670.275,4639.80352625748,4616.560611515446,0.27,8.227297910480202,-1
1775563200,1775570460,buy,4660.371,4638.414984379817,4714.806039050457,0.27,-5.9281242174494855,-1
1775581560,1775589600,sell,4668.824,4692.079108508479,4611.1412287288,0.25,-5.81377712711992,-1
1775589900,1775594520,sell,4688.809,4713.7182251935365,4626.99093701616,0.24,-5.978214046448702,-1
1775607300,1775611200,buy,4832.9555,4803.301110278202,4906.636474304494,0.2,-5.9308779443596,-1
1775611500,1775627820,buy,4802.8605,4829.487401873935,4876.564261854173,0.2,5.325380374786983,-1
1775642400,1775658720,buy,4783.214,4758.335233657221,4844.955915856948,0.24,-5.970903922267025,-1
1775659500,1775675400,sell,4761.7495,4707.927766601746,4694.547260027325,0.22,11.840781347615849,-1
1775678400,1775693040,buy,4730.602,4705.109095479229,4793.879261301927,0.23,-5.863368039777315,-1
1775697000,1775731440,sell,4716.597,4740.301474740153,4657.790813149616,0.25,-5.926118685038318,-1
1775731740,1775742600,buy,4743.122,4769.947731172518,4790.8454827526,0.31,8.315976663480397,-1
1775749800,1775767020,buy,4785.58,4764.721009143764,4837.272477140591,0.28,-5.8405174397461455,-1
1775767500,1775787660,buy,4765.277,4746.396851845242,4812.022370386895,0.31,-5.852845927974977,-1
1775788800,1775792220,sell,4747.53,4765.043837455421,4704.200406361447,0.34,-5.954704734843381,-1
1775793600,1775803740,buy,4767.223000000001,4750.479829949153,4808.625925127121,0.36,-6.0275412183051955,-1
1775804400,1775823780,buy,4746.5145,4763.619185567429,4786.504293186692,0.37,6.328733659948557,-1
1775837760,1775853600,sell,4763.687,4749.3079559245,4721.947492690272,0.35,5.032665426425046,-1
1776032220,1776033240,sell,4680.204000000001,4652.406480501321,4628.689769996225,0.29,8.061280654617002,-1
1776039780,1776043860,buy,4670.991000000001,4714.402787415514,4723.907443217542,0.28,12.155300476343546,-1
1776043920,1776064200,buy,4712.2565,4729.578426874214,4766.30362584486,0.27,4.676920256037565,-1
1776070800,1776098820,sell,4724.682,4742.361467249317,4680.938331876709,0.34,-6.011018864767776,-1
1776099480,1776122280,buy,4734.649,4761.249467735002,4780.205587969116,0.32,8.512149675200636,-1
